180000,22401 HIGHWAY 45 N,ABERDEEN,MS,39730
180001,2244 CAMELOT CIR,TUPELO,MS,38804
180002,2246 OAKVIEW DR,TUPELO,MS,38804
180003,2249 CRABAPPLE DR,TUPELO,MS,38801
180004,225 BARNES ST,TUPELO,MS,38804
180005,225 HARVESTERS SQ,TUPELO,MS,38801
180006,2256 LAKE CIRCLE DR,TUPELO,MS,38801
180007,2259 CAMELOT CIR,TUPELO,MS,38804
180008,2260 CAMELOT CIR,TUPELO,MS,38804
180009,2264 KIMBROUGH AVE,TUPELO,MS,38801
180010,2265 CRABAPPLE DR,TUPELO,MS,38801
180011,227 S THOMAS ST,TUPELO,MS,38801
180012,2281 EDGEMONT DR,TUPELO,MS,38804
180013,2286 MCCULLOUGH BLVD,TUPELO,MS,38801
180014,229 HUNTINGTON PL,TUPELO,MS,38801
180015,229 RANKIN BLVD,TUPELO,MS,38804
180016,2290 EDGEMONT DR,TUPELO,MS,38804
180017,2292 CAMELOT CIR,TUPELO,MS,38804
180018,2298 OAKVIEW DR,TUPELO,MS,38804
180019,230 MATTOX RD,TUPELO,MS,38801
180020,2300 KIMBROUGH AVE,TUPELO,MS,38801
180021,2301 EVERGREEN ST,TUPELO,MS,38801
180022,2301 MILLSAP ST,TUPELO,MS,38801
180023,2301 OAK LEIGH DR,TUPELO,MS,38801
180024,2302 CRESTWOOD DR,TUPELO,MS,38801
180025,2302 MILLSAP ST,TUPELO,MS,38801
180026,2303 EVERGREEN ST,TUPELO,MS,38801
180027,2303 LAWNDALE DR,TUPELO,MS,38801
180028,2303 RASBERRY ST,TUPELO,MS,38801
180029,2303 REDBUD LN,TUPELO,MS,38801
180030,2303 WILEMON AVE,TUPELO,MS,38801
180031,2304 ENGLEWOOD DR,TUPELO,MS,38801
180032,2304 LYNETTE CIR,TUPELO,MS,38801
180033,2304 MARION ST,TUPELO,MS,38801
180034,2304 MEADOWVIEW DR,TUPELO,MS,38801
180035,2304 OAKVIEW DR,TUPELO,MS,38804
180036,2304 RASBERRY ST,TUPELO,MS,38801
180037,2305 BRYAN DR,TUPELO,MS,38801
180038,2305 ENGLEWOOD DR,TUPELO,MS,38801
180039,2305 LAWNDALE DR,TUPELO,MS,38801
180040,2305 LYNETTE CIR,TUPELO,MS,38801
180041,2305 MILLSAP ST,TUPELO,MS,38801
180042,2305 REDBUD LN,TUPELO,MS,38801
180043,2305 TORREY ST,TUPELO,MS,38801
180044,2306 HOLLY HILL DR,TUPELO,MS,38801
180045,2306 MEADOWVIEW DR,TUPELO,MS,38801
180046,2306 TORREY ST,TUPELO,MS,38801
180047,2307 ENGLEWOOD DR,TUPELO,MS,38801
180048,2307 EVERGREEN ST,TUPELO,MS,38801
180049,2307 MEADOWVIEW DR,TUPELO,MS,38801
180050,2307 RASBERRY ST,TUPELO,MS,38801
180051,2308 CRESTWOOD DR,TUPELO,MS,38801
180052,2308 HOLLY HILL DR,TUPELO,MS,38801
180053,2308 MILLSAP ST,TUPELO,MS,38801
180054,2309 EVERGREEN ST,TUPELO,MS,38801
180055,2309 FLOWERDALE CV,TUPELO,MS,38804
180056,2309 MILLSAP ST,TUPELO,MS,38801
180057,2309 PARKWAY DRIVE,TUPELO,MS,38804
180058,2309 REDBUD LN,TUPELO,MS,38801
180059,2309 WENDOVER DR,BELDEN,MS,38826
180060,231 COUNTY ROAD 653B,SALTILLO,MS,38866
180061,231 RANKIN BLVD,TUPELO,MS,38804
180062,2310 ENGLEWOOD DR,TUPELO,MS,38801
180063,2310 MILLSAP ST,TUPELO,MS,38801
180064,2310 REDBUD LN,TUPELO,MS,38801
180065,2311 MEADOWVIEW DR,TUPELO,MS,38801
180066,2311 OAK LEIGH DR,TUPELO,MS,38801
180067,2311 REDBUD LN,TUPELO,MS,38801
180068,2311 SHADY WOOD DR,TUPELO,MS,38801
180069,2311 TORREY ST,TUPELO,MS,38801
180070,2313 CRESTWOOD DR,TUPELO,MS,38801
180071,2313 KIMBROUGH AVE,TUPELO,MS,38801
180072,2313 MILLSAP ST,TUPELO,MS,38801
180073,2314 CRESTWOOD DR,TUPELO,MS,38801
180074,2314 N CLA WOOD PL,TUPELO,MS,38801
180075,2315 ENGLEWOOD DR,TUPELO,MS,38801
180076,2315 RASBERRY ST,TUPELO,MS,38801
180077,2319 CRESTWOOD DR,TUPELO,MS,38801
180078,232 S FEEMSTER LAKE RD,TUPELO,MS,38804
180079,2323 OAKVIEW DR,TUPELO,MS,38804
180080,2323 OAKVIEW DRIVE,TUPELO,MS,38804
180081,2325 CRESTWOOD DR,TUPELO,MS,38801
180082,2330 CHESTERVILLE RD,TUPELO,MS,38801
180083,2331 EDGEMONT DR,TUPELO,MS,38804
180084,234 COUNTY ROAD 1806,SALTILLO,MS,38866
180085,234 LITTLE HARPE TRL,SALTILLO,MS,38866
180086,234 STATE PARK RD,TUPELO,MS,38804
180087,2340 MAIN ST,TUPELO,MS,38804
180088,2340 SHADY WOOD DR,TUPELO,MS,38801
180089,2342 BARNES CROSSING RD,SALTILLO,MS,38866
180090,235 PRITCHARD CIR,TUPELO,MS,38801
180091,235 TYLER WILLIS LN,TUPELO,MS,38804
180092,2351 S LAURELWOOD LN,TUPELO,MS,38801
180093,2353 FOXMOOR LN,TUPELO,MS,38804
180094,2356 HICKORY WOOD DR,TUPELO,MS,38801
180095,2362 BARNES CROSSING RD,SALTILLO,MS,38866
180096,2362 BARNES CROSSING RD,SATILLO,MS,38866
180097,2362 QUAIL CREEK DR,TUPELO,MS,38801
